title,category,file_path,public_pdf_url,status,program_owner,last_approved_date,notes
Session 1 - Caregiver Quick Start Handout,sessions,materials/sessions/session-1-caregiver-quick-start-handout.pdf,https://openchw.org/materials/sessions/session-1-caregiver-quick-start-handout.pdf,uploaded,,,Uploaded to public resource library
Session 1 Caregiver Orientation,sessions,materials/sessions/session-1-caregiver-orientation.pdf,https://openchw.org/materials/sessions/session-1-caregiver-orientation.pdf,placeholder,,,Replace with approved PDF before using URL publicly
Sumner County Caregiver Resources,resource-directories,materials/resource-directories/sumner-county-caregiver-resources.pdf,https://openchw.org/materials/resource-directories/sumner-county-caregiver-resources.pdf,placeholder,,,Replace with approved PDF before using URL publicly
Caregiver Intake Preview,forms,materials/forms/caregiver-intake-preview.pdf,https://openchw.org/materials/forms/caregiver-intake-preview.pdf,placeholder,,,Replace with approved PDF before using URL publicly
Session 1 - The Caregiver's Handbook,sessions,materials/sessions/session-1-the-caregivers-handbook,https://openchw.org/materials/materials/sessions/session-1-the-caregivers-handbook.pdf,uploaded,,,added locally
Session 1 Top 17 Resources for Family Caregivers,sessions,materials/sessions/session-1-top-17-resources-for-family-caregivers,https://openchw.org/materials/materials/sessions/session-1-top-17-resources-for-family-caregivers.pdf,uploaded,,,added locally
